fips,county,lat,lon,ercot_zone,twdb_region,pop_2020,pop_2030,pop_2040,pop_2050,pop_growth_pct,water_2020_kaf,water_2030_kaf,water_2040_kaf,water_2050_kaf,water_growth_pct,elec_peak_2020_mw,elec_peak_2030_mw,elec_peak_2040_mw,elec_peak_2050_mw,elec_growth_pct,new_load_mw
48001,Anderson,31.82,-95.65,EAST,D,57922,60508,63209,66031,14.0,35.91,36.39,36.87,37.36,4.0,133.2,159.2,190.3,227.5,70.8,1675.49
48003,Andrews,32.31,-102.64,WEST,F,18705,19987,21357,22820,22.0,33.67,34.9,36.17,37.49,11.3,52.4,85.3,139.0,226.4,332.1,5302.58
48005,Angelina,31.39,-94.61,EAST,D,86715,90586,94630,98855,14.0,53.76,54.48,55.2,55.94,4.1,199.4,238.4,285.0,340.6,70.8,899.45
48007,Aransas,28.07,-97.04,SOUTH,N,26065,29019,32308,35970,38.0,23.46,25.33,27.36,29.55,26.0,46.9,63.1,84.7,113.9,142.9,0
48009,Archer,33.62,-98.68,NORTH,B,8786,9284,9811,10367,18.0,9.66,9.91,10.15,10.41,7.8,19.3,23.6,28.7,35.0,81.3,2471.86
48011,Armstrong,34.97,-101.36,WEST,B,1887,2016,2154,2302,22.0,2.08,2.15,2.23,2.31,11.1,5.3,8.6,14.0,22.8,330.2,1459.61
48013,Atascosa,28.89,-98.53,SCENT,L,51153,59829,69976,81845,60.0,35.81,40.62,46.09,52.29,46.0,102.3,151.4,224.2,331.8,224.3,1097.74
48015,Austin,29.88,-96.27,COAST,K,30167,34145,38647,43742,45.0,14.48,15.9,17.45,19.16,32.3,72.4,92.7,118.6,151.9,109.8,310.2
48017,Bailey,34.07,-102.83,WEST,O,6904,7377,7883,8423,22.0,10.36,10.73,11.13,11.53,11.3,19.3,31.5,51.3,83.5,332.6,12842.4
48019,Bandera,29.73,-99.24,SCENT,L,23112,27032,31617,36979,60.0,16.18,18.35,20.82,23.62,46.0,46.2,68.4,101.3,149.9,224.5,8846.33
48021,Bastrop,30.1,-97.31,SCENT,K,96835,113259,132468,154936,60.0,46.48,52.73,59.83,67.87,46.0,193.7,286.7,424.4,628.1,224.3,955.85
48023,Baylor,33.62,-99.22,NORTH,B,3530,3730,3942,4165,18.0,3.88,3.98,4.08,4.18,7.7,7.8,9.5,11.5,14.1,80.8,3290.05
