fips,county,ercot_zone,pop_2020,pop_2030,pop_2040,pop_2050,growth_pct_2020_2050
48001,Anderson,EAST,57922,60508,63209,66031,14.0
48003,Andrews,WEST,18705,19987,21357,22820,22.0
48005,Angelina,EAST,86715,90586,94630,98855,14.0
48007,Aransas,SOUTH,26065,29019,32308,35970,38.0
48009,Archer,NORTH,8786,9284,9811,10367,18.0
48011,Armstrong,WEST,1887,2016,2154,2302,22.0
48013,Atascosa,SCENT,51153,59829,69976,81845,60.0
48015,Austin,COAST,30167,34145,38647,43742,45.0
48017,Bailey,WEST,6904,7377,7883,8423,22.0
48019,Bandera,SCENT,23112,27032,31617,36979,60.0
48021,Bastrop,SCENT,96835,113259,132468,154936,60.0
48023,Baylor,NORTH,3530,3730,3942,4165,18.0
48025,Bee,SOUTH,32565,36256,40365,44940,38.0
48027,Bell,SCENT,362924,424478,496473,580678,60.0
48029,Bexar,SOUTH,2009324,2258462,2538490,2853240,42.0
48031,Blanco,SCENT,13751,16083,18811,22002,60.0
48033,Borden,WEST,663,708,757,809,22.0
48035,Bosque,NORTH,18685,19745,20865,22048,18.0
48037,Bowie,EAST,93245,97408,101756,106299,14.0
48039,Brazoria,COAST,372031,421084,476604,539445,45.0
48041,Brazos,EAST,229211,239444,250134,261301,14.0
48043,Brewster,FWEST,9203,9442,9688,9939,8.0
48045,Briscoe,WEST,1546,1652,1765,1886,22.0
48047,Brooks,SOUTH,7093,7897,8792,9788,38.0
48049,Brown,NCENT,37864,43820,50712,58689,55.0
48051,Burleson,EAST,18443,19266,20126,21025,14.0
48053,Burnet,SCENT,48155,56322,65875,77048,60.0
48055,Caldwell,SCENT,45883,53665,62767,73413,60.0
48057,Calhoun,COAST,21290,24097,27274,30870,45.0
48059,Callahan,NCENT,14519,16803,19446,22504,55.0
48061,Cameron,SOUTH,423163,471123,524518,583965,38.0
48063,Camp,EAST,13094,13679,14289,14927,14.0
48065,Carson,WEST,5926,6332,6766,7230,22.0
48067,Cass,EAST,30042,31383,32784,34248,14.0
48069,Castro,WEST,7530,8046,8597,9187,22.0
48071,Chambers,COAST,46805,52976,59961,67867,45.0
48073,Cherokee,EAST,52646,54996,57452,60016,14.0
48075,Childress,WEST,6664,7121,7609,8130,22.0
48077,Clay,NORTH,10471,11065,11693,12356,18.0
48079,Cochran,WEST,2547,2722,2908,3107,22.0
48081,Coke,WEST,3387,3619,3867,4132,22.0
48083,Coleman,NCENT,8175,9461,10949,12671,55.0
48085,Collin,NCENT,1064465,1294858,1575118,1916037,80.0
48087,Collingsworth,WEST,2680,2864,3060,3270,22.0
